시군구,1인가구비율
강원도 강릉시,0.38381987
강원도 고성군,0.386302705
강원도 동해시,0.340636531
강원도 삼척시,0.399582154
강원도 속초시,0.374113381
강원도 양구군,0.339718885
강원도 양양군,0.395352452
강원도 영월군,0.403702649
강원도 원주시,0.367607155
강원도 인제군,0.362277001
강원도 정선군,0.399024812
강원도 철원군,0.308402423
강원도 춘천시,0.369484827
강원도 태백시,0.380467023
강원도 평창군,0.394888794
강원도 홍천군,0.365519078
강원도 화천군,0.377335865
강원도 횡성군,0.3439028
경기도 가평군,0.375915135
경기도 고양시,0.282999123
경기도 과천시,0.187231339
경기도 광명시,0.254067425
경기도 광주시,0.262294008
경기도 구리시,0.278665853
경기도 군포시,0.28447389
경기도 김포시,0.269366815
경기도 남양주시,0.240682614
경기도 동두천시,0.352881826
경기도 부천시,0.291366489
경기도 성남시,0.333657647
경기도 수원시,0.343899311
경기도 시흥시,0.313546108
경기도 안산시,0.337981974
경기도 안성시,0.360788652
경기도 안양시,0.265080602
경기도 양주시,0.281095165
경기도 양평군,0.328762515
경기도 여주시,0.323768746
경기도 연천군,0.369566397
경기도 오산시,0.357184098
경기도 용인시,0.254605034
경기도 의왕시,0.23451269
경기도 의정부시,0.313056114
경기도 이천시,0.314979191
경기도 파주시,0.280607408
경기도 평택시,0.359962052
경기도 포천시,0.394945107
경기도 하남시,0.305020359
경기도 화성시,0.31327866
경상남도 거제시,0.314155817
경상남도 거창군,0.370097029
경상남도 고성군,0.384945084
경상남도 김해시,0.295747915
경상남도 남해군,0.406483539
경상남도 밀양시,0.391667195
경상남도 사천시,0.36251298
경상남도 산청군,0.412087569
경상남도 양산시,0.312346104
경상남도 의령군,0.444761678
경상남도 진주시,0.357961319
경상남도 창녕군,0.395929015
경상남도 창원시,0.322125757
경상남도 통영시,0.354395757
경상남도 하동군,0.397314539
경상남도 함안군,0.359022275
경상남도 함양군,0.406661371
경상남도 합천군,0.436534324
경상북도 경산시,0.388719758
경상북도 경주시,0.375756298
경상북도 고령군,0.381544311
경상북도 구미시,0.353644247
경상북도 군위군,0.41868574
경상북도 김천시,0.360411244
경상북도 문경시,0.37140322
경상북도 봉화군,0.392052236
경상북도 상주시,0.382470666
경상북도 성주군,0.374228559
경상북도 안동시,0.39640955
경상북도 영덕군,0.433983452
경상북도 영양군,0.41066598
경상북도 영주시,0.362733569
경상북도 영천시,0.386729469
경상북도 예천군,0.365616274
경상북도 울릉군,0.45433145
경상북도 울진군,0.407361683
경상북도 의성군,0.416520139
경상북도 청도군,0.397897354
경상북도 청송군,0.419111484
경상북도 칠곡군,0.354885706
경상북도 포항시,0.332208996
광주광역시 광산구,0.323710264
광주광역시 남구,0.329022752
광주광역시 동구,0.42361206
광주광역시 북구,0.365416359
광주광역시 서구,0.372574618
대구광역시 남구,0.465939631
대구광역시 달서구,0.327747395
대구광역시 달성군,0.282061534
대구광역시 동구,0.345339815
대구광역시 북구,0.343704597
대구광역시 서구,0.379242035
대구광역시 수성구,0.278454027
대구광역시 중구,0.43801121
대전광역시 대덕구,0.357365376
대전광역시 동구,0.423431146
대전광역시 서구,0.383540536
대전광역시 유성구,0.390177161
대전광역시 중구,0.361635538
부산광역시 강서구,0.296867547
부산광역시 금정구,0.389172575
부산광역시 기장군,0.298993637
부산광역시 남구,0.346943728
부산광역시 동구,0.425464936
부산광역시 동래구,0.303014632
부산광역시 부산진구,0.406432624
부산광역시 북구,0.305509139
부산광역시 사상구,0.375676824
부산광역시 사하구,0.342932575
부산광역시 서구,0.412219692
부산광역시 수영구,0.402007238
부산광역시 연제구,0.330852936
부산광역시 영도구,0.38674665
부산광역시 중구,0.534689161
부산광역시 해운대구,0.308405512
서울특별시 강남구,0.346255747
서울특별시 강동구,0.318481998
서울특별시 강북구,0.389518187
서울특별시 강서구,0.395595977
서울특별시 관악구,0.559196386
서울특별시 광진구,0.443497824
서울특별시 구로구,0.348506157
서울특별시 금천구,0.456486191
서울특별시 노원구,0.307307464
서울특별시 도봉구,0.308152743
서울특별시 동대문구,0.43722741
서울특별시 동작구,0.415655255
서울특별시 마포구,0.422878813
서울특별시 서대문구,0.3990503
서울특별시 서초구,0.302613436
서울특별시 성동구,0.378830174
서울특별시 성북구,0.36539256
서울특별시 송파구,0.313052291
서울특별시 양천구,0.268695673
서울특별시 영등포구,0.429751778
서울특별시 용산구,0.42075282
서울특별시 은평구,0.335203816
서울특별시 종로구,0.441215734
서울특별시 중구,0.448755777
서울특별시 중랑구,0.377228164
세종특별자치시 세종시,0.32827768
울산광역시 남구,0.332374199
울산광역시 동구,0.301497127
울산광역시 북구,0.24066851
울산광역시 울주군,0.304890519
울산광역시 중구,0.311384608
인천광역시 강화군,0.311938207
인천광역시 계양구,0.292895414
인천광역시 남동구,0.31881376
인천광역시 동구,0.321512625
인천광역시 미추홀구,0.360555301
인천광역시 부평구,0.308858338
인천광역시 서구,0.269826223
인천광역시 연수구,0.258257721
인천광역시 옹진군,0.472749666
인천광역시 중구,0.40575651
전라남도 강진군,0.407612592
전라남도 고흥군,0.425947454
전라남도 곡성군,0.441283621
전라남도 광양시,0.308240564
전라남도 구례군,0.401946776
전라남도 나주시,0.390522426
전라남도 담양군,0.331387326
전라남도 목포시,0.366484347
전라남도 무안군,0.359032002
전라남도 보성군,0.420184806
전라남도 순천시,0.318176264
전라남도 신안군,0.423108698
전라남도 여수시,0.329804744
전라남도 영광군,0.373791813
전라남도 영암군,0.413947196
전라남도 완도군,0.377880401
전라남도 장성군,0.336433846
