시군구,공무원단속건수,주민신고건수
강원도 강릉시,219,142
강원도 고성군,0,7
강원도 동해시,35,31
강원도 삼척시,30,7
강원도 속초시,210,40
강원도 양구군,30,1
강원도 양양군,40,30
강원도 영월군,100,9
강원도 원주시,1081,166
강원도 인제군,4,0
강원도 정선군,5,9
강원도 철원군,20,0
강원도 춘천시,27113,309
강원도 태백시,4,4
강원도 평창군,30,63
강원도 홍천군,147,23
강원도 화천군,6,1
강원도 횡성군,0,5
경기도 가평군,87,319
경기도 고양시,809,2344
경기도 과천시,76,185
경기도 광명시,163,230
경기도 광주시,329,494
경기도 구리시,928,146
경기도 군포시,1893,522
경기도 김포시,1108,871
경기도 남양주시,1097,1695
경기도 동두천시,346,27
경기도 부천시,10891,519
경기도 성남시,54151,891
경기도 수원시,15257,1764
경기도 시흥시,1095,949
경기도 안산시,4542,2172
경기도 안성시,180,107
경기도 안양시,1534,236
경기도 양주시,546,154
경기도 양평군,103,409
경기도 여주시,2839,93
경기도 연천군,433,17
경기도 오산시,1889,209
경기도 용인시,5658,5351
경기도 의왕시,1179,301
경기도 의정부시,2241,317
경기도 이천시,3005,468
경기도 파주시,119,644
경기도 평택시,12082,530
경기도 포천시,2063,31
경기도 하남시,395,144
경기도 화성시,415,767
경상남도 거제시,1186,0
경상남도 거창군,20,6
경상남도 고성군,21,1
경상남도 김해시,328,318
경상남도 남해군,15,7
경상남도 밀양시,770,32
경상남도 사천시,259,0
경상남도 산청군,39,2
경상남도 양산시,280,203
경상남도 의령군,52,1
경상남도 진주시,705,0
경상남도 창녕군,5,20
경상남도 창원시,354,291
경상남도 통영시,183,11
경상남도 하동군,24,2
경상남도 함안군,64,41
경상남도 함양군,99,0
경상남도 합천군,14,6
경상북도 경산시,115,87
경상북도 경주시,168,191
경상북도 고령군,69,0
경상북도 구미시,886,276
경상북도 군위군,18,14
경상북도 김천시,101,60
경상북도 문경시,117,23
경상북도 봉화군,52,0
경상북도 상주시,6,0
경상북도 성주군,47,10
경상북도 안동시,320,0
경상북도 영덕군,9,0
경상북도 영양군,3,15
경상북도 영주시,797,0
경상북도 영천시,81,0
경상북도 예천군,160,0
경상북도 울릉군,23,0
경상북도 울진군,14,0
경상북도 의성군,68,68
경상북도 청도군,0,0
경상북도 청송군,57,0
경상북도 칠곡군,96,96
경상북도 포항시,1986,275
광주광역시 광산구,983,474
광주광역시 남구,194,250
광주광역시 동구,145,102
광주광역시 북구,130,350
광주광역시 서구,638,374
대구광역시 남구,3488,1319
대구광역시 달서구,3417,537
대구광역시 달성군,541,168
대구광역시 동구,1127,267
대구광역시 북구,2908,391
대구광역시 서구,1130,85
대구광역시 수성구,792,482
대구광역시 중구,3179,1193
대전광역시 대덕구,78,94
대전광역시 동구,417,84
대전광역시 서구,2837,382
대전광역시 유성구,459,3115
대전광역시 중구,894,196
부산광역시 강서구,554,111
부산광역시 금정구,465,95
부산광역시 기장군,364,134
부산광역시 남구,333,1306
부산광역시 동구,519,730
부산광역시 동래구,356,1115
부산광역시 부산진구,3954,446
부산광역시 북구,232,109
부산광역시 사상구,195,141
부산광역시 사하구,82,131
부산광역시 서구,712,41
부산광역시 수영구,255,375
부산광역시 연제구,2472,116
부산광역시 영도구,175,281
부산광역시 중구,268,30
부산광역시 해운대구,180,1469
서울특별시 강남구,25475,885
서울특별시 강동구,10635,133
서울특별시 강북구,4098,168
서울특별시 강서구,111,455
서울특별시 관악구,5130,319
서울특별시 광진구,4329,207
서울특별시 구로구,4738,293
서울특별시 금천구,5334,197
서울특별시 노원구,2825,74
서울특별시 도봉구,701,47
서울특별시 동대문구,8337,225
서울특별시 동작구,10257,253
서울특별시 마포구,3908,363
서울특별시 서대문구,4251,143
서울특별시 서초구,15216,0
서울특별시 성동구,1216,364
서울특별시 성북구,3395,182
서울특별시 송파구,5732,719
서울특별시 양천구,858,331
서울특별시 영등포구,2724,533
서울특별시 용산구,755,406
서울특별시 은평구,4531,128
서울특별시 종로구,17029,93
서울특별시 중구,6587,320
서울특별시 중랑구,4660,205
세종특별자치시,702,126
울산광역시 남구,150,636
울산광역시 동구,342,54
울산광역시 북구,2,88
울산광역시 울주군,90,65
울산광역시 중구,0,7
인천광역시 강화군,627,41
인천광역시 계양구,6373,421
인천광역시 남동구,270,776
인천광역시 동구,960,31
인천광역시 미추홀구,464,162
인천광역시 부평구,1175,374
인천광역시 서구,9845,5069
인천광역시 연수구,267,495
인천광역시 옹진군,29,0
인천광역시 중구,254,198
전라남도 강진군,127,6
전라남도 고흥군,2,0
전라남도 곡성군,34,5
전라남도 광양시,265,67
전라남도 구례군,30,110
전라남도 나주시,1050,400
전라남도 담양군,33,40
전라남도 목포시,335,198
전라남도 무안군,308,0
전라남도 보성군,23,14
전라남도 순천시,111,198
전라남도 신안군,0,3
전라남도 여수시,154,116
전라남도 영광군,61,24
전라남도 영암군,10,11
전라남도 완도군,18,0
전라남도 장성군,65,18
전라남도 장흥군,30,10
전라남도 진도군,21,7
전라남도 함평군,32,7
전라남도 해남군,1,7
전라남도 화순군,27,126
전라북도 고창군,80,121
전라북도 군산시,61,45
전라북도 김제시,15,16
전라북도 남원시,7,38
전라북도 무주군,12,5
전라북도 부안군,24,4
전라북도 순창군,29,5
전라북도 완주군,143,20
전라북도 익산시,167,234
전라북도 임실군,76,92
전라북도 장수군,10,9
전라북도 전주시,1106,628
전라북도 정읍시,72,73
전라북도 진안군,41,1
제주특별자치도 서귀포시,329,103
제주특별자치도 제주시,629,209
충청남도 계룡시,16,37
충청남도 공주시,323,323
충청남도 금산군,110,34
충청남도 논산시,390,26
충청남도 당진시,316,105
충청남도 보령시,368,55
충청남도 부여군,493,21
충청남도 서산시,906,57
충청남도 서천군,98,0
충청남도 아산시,705,161
충청남도 예산군,274,115
충청남도 천안시,3590,930
충청남도 청양군,6,36
충청남도 태안군,224,17
