시군구,음식점업종사자수
강원도 강릉시,"9,183"
강원도 고성군,"1,555"
강원도 동해시,"2,388"
강원도 삼척시,"2,027"
강원도 속초시,"4,792"
강원도 양구군,516
강원도 양양군,"1,790"
강원도 영월군,863
강원도 원주시,"9,902"
강원도 인제군,752
강원도 정선군,"1,400"
강원도 철원군,841
강원도 춘천시,"9,832"
강원도 태백시,"1,199"
강원도 평창군,"3,104"
강원도 홍천군,"2,918"
강원도 화천군,316
강원도 횡성군,"1,635"
경기도 가평군,"4,233"
경기도 고양시,"25,833"
경기도 과천시,"1,934"
경기도 광명시,"6,623"
경기도 광주시,"8,138"
경기도 구리시,"4,545"
경기도 군포시,"5,999"
경기도 김포시,"10,382"
경기도 남양주시,"14,581"
경기도 동두천시,"2,329"
경기도 부천시,"17,514"
경기도 성남시,"28,970"
경기도 수원시,"31,910"
경기도 시흥시,"11,520"
경기도 안산시,"14,709"
경기도 안성시,"4,668"
경기도 안양시,"14,418"
경기도 양주시,"5,279"
경기도 양평군,"3,229"
경기도 여주시,"3,001"
경기도 연천군,945
경기도 오산시,"5,173"
경기도 용인시,"23,960"
경기도 의왕시,"3,669"
경기도 의정부시,"10,064"
경기도 이천시,"6,835"
경기도 파주시,"11,298"
경기도 평택시,"14,563"
경기도 포천시,"4,564"
경기도 하남시,"7,532"
경기도 화성시,"21,964"
경상남도 거제시,"5,569"
경상남도 거창군,"1,085"
경상남도 고성군,830
경상남도 김해시,"12,531"
경상남도 남해군,"1,722"
경상남도 밀양시,"1,800"
경상남도 사천시,"3,540"
경상남도 산청군,593
경상남도 양산시,"8,344"
경상남도 의령군,327
경상남도 진주시,"8,618"
경상남도 창녕군,"1,093"
경상남도 창원시,"23,306"
경상남도 통영시,"3,198"
경상남도 하동군,600
경상남도 함안군,"1,187"
경상남도 함양군,569
경상남도 합천군,510
경상북도 경산시,"5,879"
경상북도 경주시,"7,762"
경상북도 고령군,467
경상북도 구미시,"8,527"
경상북도 군위군,323
경상북도 김천시,"2,705"
경상북도 문경시,"1,175"
경상북도 봉화군,377
경상북도 상주시,"1,238"
경상북도 성주군,752
경상북도 안동시,"3,229"
경상북도 영덕군,806
경상북도 영양군,120
경상북도 영주시,"2,105"
경상북도 영천시,"1,480"
경상북도 예천군,641
경상북도 울릉군,535
경상북도 울진군,"1,261"
경상북도 의성군,396
경상북도 청도군,899
경상북도 청송군,384
