시군구,인구수
강원도 강릉시,211381
강원도 고성군,27274
강원도 동해시,89426
강원도 삼척시,63455
강원도 속초시,82806
강원도 양구군,21383
강원도 양양군,27866
강원도 영월군,37728
강원도 원주시,360807
강원도 인제군,32206
강원도 정선군,34931
강원도 철원군,42256
강원도 춘천시,286664
강원도 태백시,39428
강원도 평창군,40990
강원도 홍천군,67977
강원도 화천군,23388
강원도 횡성군,46532
경기도 가평군,62150
경기도 고양시,1076535
경기도 과천시,78137
경기도 광명시,287945
경기도 광주시,391462
경기도 구리시,188701
경기도 군포시,266213
경기도 김포시,484267
경기도 남양주시,737353
경기도 동두천시,91546
경기도 부천시,790128
경기도 성남시,922518
경기도 수원시,1190964
경기도 시흥시,512912
경기도 안산시,641660
경기도 안성시,188842
경기도 안양시,548228
경기도 양주시,243432
경기도 양평군,122323
경기도 여주시,113150
경기도 연천군,42062
경기도 오산시,229849
경기도 용인시,1074971
경기도 의왕시,160221
경기도 의정부시,463724
경기도 이천시,222721
경기도 파주시,495315
경기도 평택시,578529
경기도 포천시,146701
경기도 하남시,326059
경기도 화성시,910814
경상남도 거제시,236662
경상남도 거창군,60387
경상남도 고성군,50448
경상남도 김해시,535129
경상남도 남해군,41579
경상남도 밀양시,102945
경상남도 사천시,109369
경상남도 산청군,34028
경상남도 양산시,353792
경상남도 의령군,26061
경상남도 진주시,343782
경상남도 창녕군,58372
경상남도 창원시,1021487
경상남도 통영시,122681
경상남도 하동군,42465
경상남도 함안군,61456
경상남도 함양군,37708
경상남도 합천군,42142
경상북도 경산시,267725
경상북도 경주시,249607
경상북도 고령군,30353
경상북도 구미시,408110
경상북도 군위군,23340
경상북도 김천시,139324
경상북도 문경시,70373
경상북도 봉화군,30139
경상북도 상주시,94823
경상북도 성주군,42566
경상북도 안동시,154610
경상북도 영덕군,34650
경상북도 영양군,16022
경상북도 영주시,100749
경상북도 영천시,101088
경상북도 예천군,55755
경상북도 울릉군,8996
경상북도 울진군,47030
경상북도 의성군,50186
경상북도 청도군,41614
경상북도 청송군,24295
경상북도 칠곡군,112487
경상북도 포항시,496650
광주광역시 광산구,400654
광주광역시 남구,212379
광주광역시 동구,105909
광주광역시 북구,424707
광주광역시 서구,287401
대구광역시 남구,141519
대구광역시 달서구,536989
