시군구,일제대청소참여율
 강원도 강릉시 ,0
 강원도 고성군 ,0.0817628511
 강원도 동해시 ,0.00559121508
 강원도 삼척시 ,0
 강원도 속초시 ,0.0102649566
 강원도 양구군 ,0.0431651312
 강원도 양양군 ,0
 강원도 영월군 ,0.046384648
 강원도 원주시 ,0.00466731521
 강원도 인제군 ,0
 강원도 정선군 ,0.067275486
 강원도 철원군 ,0.0591631958
 강원도 춘천시 ,0.00565819217
 강원도 태백시 ,0
 강원도 평창군 ,0
 강원도 홍천군 ,0.00186827898
 강원도 화천군 ,0
 강원도 횡성군 ,0
 경기도 가평군 ,0.0251327434
 경기도 고양시 ,0.000195070295
 경기도 과천시 ,0
 경기도 광명시 ,0.00694577089
 경기도 광주시 ,0.00178816846
 경기도 구리시 ,0
 경기도 군포시 ,0.00169037575
 경기도 김포시 ,0.00194314294
 경기도 남양주시 ,0.00474128403
 경기도 동두천시 ,0.0067725515
 경기도 부천시 ,0
 경기도 성남시 ,0
 경기도 수원시 ,0.00281536638
 경기도 시흥시 ,0
 경기도 안산시 ,0.00478914067
 경기도 안성시 ,0
 경기도 안양시 ,0.00413149274
 경기도 양주시 ,0
 경기도 양평군 ,0
 경기도 여주시 ,0.0185594344
 경기도 연천군 ,0.00128381912
 경기도 오산시 ,0
 경기도 용인시 ,0
 경기도 의왕시 ,0.00413179296
 경기도 의정부시 ,0.00183298686
 경기도 이천시 ,0
 경기도 파주시 ,0.00197450108
 경기도 평택시 ,0.00651479874
 경기도 포천시 ,0.0250441374
 경기도 하남시 ,0
 경기도 화성시 ,0
 경상남도 거제시 ,0.0163862386
 경상남도 거창군 ,0
 경상남도 고성군 ,0.0117745005
 경상남도 김해시 ,0.00564349904
 경상남도 남해군 ,0.0336708435
 경상남도 밀양시 ,0.029238914
 경상남도 사천시 ,0.00622662729
 경상남도 산청군 ,0.0658281415
 경상남도 양산시 ,0.00285478473
 경상남도 의령군 ,0.0268600591
 경상남도 진주시 ,0.0469221774
 경상남도 창녕군 ,0.0256972521
 경상남도 창원시 ,0.00632215584
 경상남도 통영시 ,0.0244536644
 경상남도 하동군 ,0.0223713647
 경상남도 함안군 ,0.0019363447
 경상남도 함양군 ,0.0190675719
 경상남도 합천군 ,0.0622894025
 경상북도 경산시 ,0.00194229153
 경상북도 경주시 ,0.00379797041
 경상북도 고령군 ,0.0171317497
 경상북도 구미시 ,0
 경상북도 군위군 ,0.00642673522
 경상북도 김천시 ,0.00165082829
 경상북도 문경시 ,0.00710499766
 경상북도 봉화군 ,0
 경상북도 상주시 ,0.00527298229
 경상북도 성주군 ,0.0224827327
 경상북도 안동시 ,0.00355733782
 경상북도 영덕군 ,0
 경상북도 영양군 ,0.0312070903
 경상북도 영주시 ,0.0552065033
 경상북도 영천시 ,0.011811491
 경상북도 예천군 ,0.0431172092
 경상북도 울릉군 ,0.0833703868
 경상북도 울진군 ,0.00255156283
 경상북도 의성군 ,0.00597776272
 경상북도 청도군 ,0.0264334118
 경상북도 청송군 ,0.0061741099
 경상북도 칠곡군 ,0.00605403291
 경상북도 포항시 ,0.00201349039
 광주광역시 광산구 ,0.00363405831
 광주광역시 남구 ,0.00386102204
 광주광역시 동구 ,0.00932876337
 광주광역시 북구 ,0.01059554
 광주광역시 서구 ,0.00134655064
 대구광역시 남구 ,0.0106699454
 대구광역시 달서구 ,0.00636325884
 대구광역시 달성군 ,0.0010449837
 대구광역시 동구 ,0.00647954525
 대구광역시 북구 ,0.00409132259
 대구광역시 서구 ,0.0162988732
 대구광역시 수성구 ,0.00722628677
 대구광역시 중구 ,0.00129677427
 대전광역시 대덕구 ,0.00347330763
 대전광역시 동구 ,0.00202956983
 대전광역시 서구 ,0.00543397382
 대전광역시 유성구 ,0.0019657786
 대전광역시 중구 ,0.00604998503
 부산광역시 강서구 ,0.0178063921
 부산광역시 금정구 ,0.00262139784
 부산광역시 기장군 ,0.00520675871
 부산광역시 남구 ,0.00486086458
 부산광역시 동구 ,0.00818856839
 부산광역시 동래구 ,0.0118949148
 부산광역시 부산진구 ,0.0015453041
 부산광역시 북구 ,0.00508145752
 부산광역시 사상구 ,0.0123166609
 부산광역시 사하구 ,0.00894078222
 부산광역시 서구 ,0.00502889954
 부산광역시 수영구 ,0.0172991774
 부산광역시 연제구 ,0.00304123104
 부산광역시 영도구 ,0.00509449314
 부산광역시 중구 ,0
 부산광역시 해운대구 ,0.00239150949
 서울특별시 강남구 ,0.000661498161
 서울특별시 강동구 ,0.00613388919
 서울특별시 강북구 ,0
 서울특별시 강서구 ,0.000614934834
 서울특별시 관악구 ,0.00869642035
 서울특별시 광진구 ,0.00243616189
 서울특별시 구로구 ,0.00798350682
 서울특별시 금천구 ,0.0111739142
 서울특별시 노원구 ,0.0026144751
 서울특별시 도봉구 ,0.00112289617
 서울특별시 동대문구 ,0.00297049702
 서울특별시 동작구 ,0.00604315337
 서울특별시 마포구 ,0.00493640268
 서울특별시 서대문구 ,0.00232750206
 서울특별시 서초구 ,0.00160761763
 서울특별시 성동구 ,0.00138078292
 서울특별시 성북구 ,0.0116171813
 서울특별시 송파구 ,0.000979051337
 서울특별시 양천구 ,0.00408273434
 서울특별시 영등포구 ,0.000385971917
 서울특별시 용산구 ,0.0143013949
 서울특별시 은평구 ,0.00905203258
 서울특별시 종로구 ,0.000919514214
 서울특별시 중구 ,0.00788794141
 서울특별시 중랑구 ,0.00262640209
 세종특별자치시 ,0.0122969517
 울산광역시 남구 ,0.0369336656
 울산광역시 동구 ,0.0403266737
 울산광역시 북구 ,0.0299812503
 울산광역시 울주군 ,0.0186716747
 울산광역시 중구 ,0.00550612112
 인천광역시 강화군 ,0
 인천광역시 계양구 ,0.00833979561
 인천광역시 남동구 ,0
 인천광역시 동구 ,0
 인천광역시 미추홀구 ,0
 인천광역시 부평구 ,0.0231805004
 인천광역시 서구 ,0.0115956694
 인천광역시 연수구 ,0
 인천광역시 옹진군 ,0
 인천광역시 중구 ,0
 전라남도 강진군 ,0.0202549959
 전라남도 고흥군 ,0.121687136
 전라남도 곡성군 ,0.0532150776
 전라남도 광양시 ,0.0247949635
 전라남도 구례군 ,0.00851754208
 전라남도 나주시 ,0.0378855533
 전라남도 담양군 ,0.0353773585
 전라남도 목포시 ,0.00691438607
 전라남도 무안군 ,0.0411111602
 전라남도 보성군 ,0.142964831
 전라남도 순천시 ,0.00358761126
 전라남도 신안군 ,0.0265729833
 전라남도 여수시 ,0.0303750478
 전라남도 영광군 ,0.0239477365
 전라남도 영암군 ,0.0380952381
 전라남도 완도군 ,0.08403891
 전라남도 장성군 ,0.00811199184
 전라남도 장흥군 ,0.0117812062
 전라남도 진도군 ,0.0420239265
 전라남도 함평군 ,0.0324844075
 전라남도 해남군 ,0.0216919081
 전라남도 화순군 ,0.032890494
 전라북도 고창군 ,0
 전라북도 군산시 ,0.00285750209
 전라북도 김제시 ,0.00735375361
 전라북도 남원시 ,0.0071842767
 전라북도 무주군 ,0.0745029588
 전라북도 부안군 ,0.0257316245
 전라북도 순창군 ,0.0448984173
 전라북도 완주군 ,0.00836380948
 전라북도 익산시 ,0.0106212344
 전라북도 임실군 ,0.0452693526
