시군구,재정자주도
강원도 강릉시,0.581
강원도 고성군,0.6048
강원도 동해시,0.6106
강원도 삼척시,0.6814
강원도 속초시,0.6072
강원도 양구군,0.659
강원도 양양군,0.6847
강원도 영월군,0.6541
강원도 원주시,0.5685
강원도 인제군,0.7218
강원도 정선군,0.6806
강원도 철원군,0.6426
강원도 춘천시,0.5978
강원도 태백시,0.6646
강원도 평창군,0.7065
강원도 홍천군,0.6756
강원도 화천군,0.6952
강원도 횡성군,0.6563
경기도 가평군,0.6495
경기도 고양시,0.5531
경기도 과천시,0.5799
경기도 광명시,0.5703
경기도 광주시,0.5547
경기도 구리시,0.5306
경기도 군포시,0.5757
경기도 김포시,0.5319
경기도 남양주시,0.5657
경기도 동두천시,0.5695
경기도 부천시,0.5359
경기도 성남시,0.6548
경기도 수원시,0.5654
경기도 시흥시,0.5252
경기도 안산시,0.5552
경기도 안성시,0.5861
경기도 안양시,0.5635
경기도 양주시,0.5811
경기도 양평군,0.5743
경기도 여주시,0.6099
경기도 연천군,0.627
경기도 오산시,0.5633
경기도 용인시,0.5858
경기도 의왕시,0.5961
경기도 의정부시,0.4796
경기도 이천시,0.5779
경기도 파주시,0.5362
경기도 평택시,0.5773
경기도 포천시,0.599
경기도 하남시,0.5436
경기도 화성시,0.623
경상남도 거제시,0.6247
경상남도 거창군,0.6148
경상남도 고성군,0.6195
경상남도 김해시,0.5558
경상남도 남해군,0.609
경상남도 밀양시,0.6541
경상남도 사천시,0.5851
경상남도 산청군,0.6243
경상남도 양산시,0.5232
경상남도 의령군,0.6658
경상남도 진주시,0.5785
경상남도 창녕군,0.6294
경상남도 창원시,0.5798
경상남도 통영시,0.5432
경상남도 하동군,0.6354
경상남도 함안군,0.6237
경상남도 함양군,0.6515
경상남도 합천군,0.6357
경상북도 경산시,0.5762
경상북도 경주시,0.5803
경상북도 고령군,0.5864
경상북도 구미시,0.5867
경상북도 군위군,0.65
경상북도 김천시,0.5918
경상북도 문경시,0.6694
경상북도 봉화군,0.6524
경상북도 상주시,0.6387
경상북도 성주군,0.6426
경상북도 안동시,0.6331
경상북도 영덕군,0.6271
경상북도 영양군,0.7162
경상북도 영주시,0.6355
경상북도 영천시,0.6525
경상북도 예천군,0.6232
경상북도 울릉군,0.6296
경상북도 울진군,0.5917
경상북도 의성군,0.5985
경상북도 청도군,0.5615
경상북도 청송군,0.697
경상북도 칠곡군,0.5871
경상북도 포항시,0.5334
광주광역시 광산구,0.3025
광주광역시 남구,0.309
광주광역시 동구,0.3482
광주광역시 북구,0.2718
광주광역시 서구,0.3097
대구광역시 남구,0.3616
대구광역시 달서구,0.3087
대구광역시 달성군,0.5469
대구광역시 동구,0.2999
대구광역시 북구,0.3138
대구광역시 서구,0.3497
대구광역시 수성구,0.3654
대구광역시 중구,0.4498
대전광역시  대덕구,0.3505
대전광역시  동구,0.3136
대전광역시  서구,0.3109
대전광역시  유성구,0.363
대전광역시  중구,0.3433
부산광역시 강서구,0.4991
부산광역시 금정구,0.3333
부산광역시 기장군,0.5434
부산광역시 남구,0.3299
부산광역시 동구,0.4111
부산광역시 동래구,0.3476
부산광역시 부산진구,0.325
부산광역시 북구,0.3111
부산광역시 사상구,0.3274
부산광역시 사하구,0.3037
부산광역시 서구,0.4036
부산광역시 수영구,0.3894
부산광역시 연제구,0.3636
부산광역시 영도구,0.3758
부산광역시 중구,0.5164
부산광역시 해운대구,0.3467
서울특별시 강남구,0.5566
서울특별시 강동구,0.4662
서울특별시 강북구,0.4425
서울특별시 강서구,0.4078
서울특별시 관악구,0.4293
서울특별시 광진구,0.4731
서울특별시 구로구,0.4443
서울특별시 금천구,0.4846
서울특별시 노원구,0.4211
서울특별시 도봉구,0.4724
서울특별시 동대문구,0.4561
서울특별시 동작구,0.4967
서울특별시 마포구,0.4827
서울특별시 서대문구,0.4787
서울특별시 서초구,0.5542
서울특별시 성동구,0.5279
서울특별시 성북구,0.4445
서울특별시 송파구,0.4578
서울특별시 양천구,0.4567
서울특별시 영등포구,0.468
서울특별시 용산구,0.5547
서울특별시 은평구,0.4287
서울특별시 종로구,0.5544
서울특별시 중구,0.5814
서울특별시 중랑구,0.4276
세종특별자치시,0.5998
울산광역시 남구,0.4027
울산광역시 동구,0.3942
울산광역시 북구,0.3916
울산광역시 울주군,0.54
울산광역시 중구,0.3713
인천광역시 강화군,0.5976
인천광역시 계양구,0.3758
인천광역시 남동구,0.3445
인천광역시 동구,0.4909
인천광역시 미추홀구,0.3284
인천광역시 부평구,0.337
인천광역시 서구,0.3696
인천광역시 연수구,0.4143
인천광역시 옹진군,0.5423
인천광역시 중구,0.4724
전라남도 강진군,0.5804
전라남도 고흥군,0.6145
전라남도 곡성군,0.6459
전라남도 광양시,0.6389
전라남도 구례군,0.6322
전라남도 나주시,0.5875
전라남도 담양군,0.6209
전라남도 목포시,0.488
전라남도 무안군,0.59
전라남도 보성군,0.6162
전라남도 순천시,0.6332
전라남도 신안군,0.5979
전라남도 여수시,0.5758
전라남도 영광군,0.6135
