시군구,재활용발생량
강원도 강릉시,"12,095.60"
강원도 고성군,"1,639.40"
강원도 동해시,"2,788.80"
강원도 삼척시,"2,068.00"
강원도 속초시,"5,263.30"
강원도 양구군,"1,364.50"
강원도 양양군,"2,471.50"
강원도 영월군,"3,557.50"
강원도 원주시,"22,716.00"
강원도 인제군,"3,643.90"
강원도 정선군,"2,849.30"
강원도 철원군,"3,517.40"
강원도 춘천시,"14,342.30"
강원도 태백시,"2,834.30"
강원도 평창군,"9,535.50"
강원도 홍천군,"4,970.90"
강원도 화천군,941.7
강원도 횡성군,"6,415.80"
경기도 가평군,"5,939.60"
경기도 고양시,"86,863.50"
경기도 과천시,"7,501.70"
경기도 광명시,"24,032.10"
경기도 광주시,"23,354.50"
경기도 구리시,"12,580.30"
경기도 군포시,"10,249.20"
경기도 김포시,"38,507.50"
경기도 남양주시,"57,024.70"
경기도 동두천시,"6,096.90"
경기도 부천시,"54,631.40"
경기도 성남시,"54,909.10"
경기도 수원시,"92,402.00"
경기도 시흥시,"41,424.70"
경기도 안산시,"52,355.50"
경기도 안성시,"13,470.10"
경기도 안양시,"18,828.90"
경기도 양주시,"15,496.30"
경기도 양평군,"7,086.30"
경기도 여주시,"11,121.60"
경기도 연천군,"1,944.60"
경기도 오산시,"17,013.10"
경기도 용인시,"76,487.00"
경기도 의왕시,"13,584.80"
경기도 의정부시,"36,644.80"
경기도 이천시,"18,501.90"
경기도 파주시,"32,572.90"
경기도 평택시,"48,863.80"
경기도 포천시,"10,680.70"
경기도 하남시,"22,866.90"
경기도 화성시,"61,602.40"
경상남도 거제시,"9,145.50"
경상남도 거창군,"4,299.20"
경상남도 고성군,"2,559.70"
경상남도 김해시,"33,496.30"
경상남도 남해군,"3,133.60"
경상남도 밀양시,"5,375.50"
경상남도 사천시,"3,762.20"
경상남도 산청군,"3,562.50"
경상남도 양산시,"34,564.60"
경상남도 의령군,"1,799.30"
경상남도 진주시,"44,656.40"
경상남도 창녕군,"4,399.90"
경상남도 창원시,"121,485.80"
경상남도 통영시,"6,347.90"
경상남도 하동군,"1,462.80"
경상남도 함안군,"3,408.90"
경상남도 함양군,"2,265.10"
경상남도 합천군,"3,726.40"
경상북도 경산시,"16,444.30"
경상북도 경주시,"8,031.60"
경상북도 고령군,"3,436.60"
경상북도 구미시,"28,470.90"
경상북도 군위군,"1,526.90"
경상북도 김천시,"7,689.40"
경상북도 문경시,"3,994.60"
경상북도 봉화군,"4,445.20"
경상북도 상주시,"5,592.00"
경상북도 성주군,"3,050.10"
경상북도 안동시,"17,469.30"
경상북도 영덕군,"2,262.70"
경상북도 영양군,"2,951.20"
경상북도 영주시,"4,818.60"
경상북도 영천시,"5,024.00"
경상북도 예천군,"4,178.70"
경상북도 울릉군,"1,916.00"
경상북도 울진군,"1,595.70"
경상북도 의성군,"3,816.00"
경상북도 청도군,"1,581.90"
경상북도 청송군,"1,438.40"
경상북도 칠곡군,"4,835.70"
경상북도 포항시,"13,519.60"
광주광역시 광산구,"42,304.90"
광주광역시 남구,"14,008.20"
광주광역시 동구,"7,129.50"
광주광역시 북구,"38,132.10"
광주광역시 서구,"26,306.70"
대구광역시 남구,"6,696.70"
대구광역시 달서구,"37,248.90"
대구광역시 달성군,"16,462.50"
대구광역시 동구,"14,499.30"
대구광역시 북구,"23,265.10"
대구광역시 서구,"6,352.50"
