시군구,제조업종사자수
강원도 강릉시,6276
강원도 고성군,967
강원도 동해시,3333
강원도 삼척시,1612
강원도 속초시,1826
강원도 양구군,449
강원도 양양군,975
강원도 영월군,2060
강원도 원주시,18313
강원도 인제군,661
강원도 정선군,814
강원도 철원군,1342
강원도 춘천시,7204
강원도 태백시,1050
강원도 평창군,906
강원도 홍천군,2318
강원도 화천군,322
강원도 횡성군,5483
경기도 가평군,1584
경기도 고양시,27031
경기도 과천시,325
경기도 광명시,14285
경기도 광주시,43456
경기도 구리시,2942
경기도 군포시,27995
경기도 김포시,74269
경기도 남양주시,31614
경기도 동두천시,4645
경기도 부천시,59294
경기도 성남시,36803
경기도 수원시,35169
경기도 시흥시,85244
경기도 안산시,117358
경기도 안성시,40698
경기도 안양시,32279
경기도 양주시,29832
경기도 양평군,1443
경기도 여주시,7721
경기도 연천군,2528
경기도 오산시,13325
경기도 용인시,59590
경기도 의왕시,9349
경기도 의정부시,5410
경기도 이천시,44854
경기도 파주시,77035
경기도 평택시,91709
경기도 포천시,41649
경기도 하남시,10641
경기도 화성시,245997
경상남도 거제시,34691
경상남도 거창군,2315
경상남도 고성군,4498
경상남도 김해시,84511
경상남도 남해군,830
경상남도 밀양시,8684
경상남도 사천시,17160
경상남도 산청군,1225
경상남도 양산시,48496
경상남도 의령군,1810
경상남도 진주시,13544
경상남도 창녕군,8539
경상남도 창원시,117375
경상남도 통영시,3623
경상남도 하동군,962
경상남도 함안군,22020
경상남도 함양군,1556
경상남도 합천군,990
경상북도 경산시,32397
경상북도 경주시,36689
경상북도 고령군,8835
경상북도 구미시,82844
경상북도 군위군,1723
경상북도 김천시,12834
경상북도 문경시,3174
경상북도 봉화군,1596
경상북도 상주시,4140
경상북도 성주군,8646
경상북도 안동시,4139
경상북도 영덕군,866
경상북도 영양군,286
경상북도 영주시,5383
경상북도 영천시,15270
경상북도 예천군,817
경상북도 울릉군,240
경상북도 울진군,806
경상북도 의성군,1395
경상북도 청도군,1571
경상북도 청송군,296
경상북도 칠곡군,24489
경상북도 포항시,40537
광주광역시 광산구,49207
광주광역시 남구,1039
광주광역시 동구,1072
광주광역시 북구,17912
광주광역시 서구,9909
대구광역시 남구,1056
대구광역시 달서구,48707
대구광역시 달성군,45883
대구광역시 동구,6397
대구광역시 북구,25310
대구광역시 서구,15501
대구광역시 수성구,1926
대구광역시 중구,2031
대전광역시 대덕구,25936
대전광역시 동구,4701
대전광역시 서구,2403
대전광역시 유성구,22997
대전광역시 중구,2003
부산광역시 강서구,68775
부산광역시 금정구,7476
부산광역시 기장군,16995
부산광역시 남구,4292
부산광역시 동구,1548
부산광역시 동래구,1953
부산광역시 부산진구,4202
부산광역시 북구,1717
부산광역시 사상구,32179
부산광역시 사하구,26140
부산광역시 서구,2262
부산광역시 수영구,1203
부산광역시 연제구,1896
부산광역시 영도구,9353
부산광역시 중구,770
부산광역시 해운대구,5934
서울특별시 강남구,17236
서울특별시 강동구,3087
서울특별시 강북구,4093
서울특별시 강서구,6781
서울특별시 관악구,3255
서울특별시 광진구,4511
서울특별시 구로구,14921
서울특별시 금천구,35013
서울특별시 노원구,2632
서울특별시 도봉구,2246
서울특별시 동대문구,9214
서울특별시 동작구,1149
서울특별시 마포구,4059
서울특별시 서대문구,1531
서울특별시 서초구,5796
서울특별시 성동구,22890
서울특별시 성북구,5511
서울특별시 송파구,7966
서울특별시 양천구,3301
서울특별시 영등포구,9610
서울특별시 용산구,1578
서울특별시 은평구,2030
서울특별시 종로구,7834
서울특별시 중구,17356
서울특별시 중랑구,10722
세종특별자치시 세종시,20031
울산광역시 남구,28176
울산광역시 동구,39837
울산광역시 북구,53394
울산광역시 울주군,44548
울산광역시 중구,1564
인천광역시 강화군,3109
인천광역시 계양구,11252
인천광역시 남동구,73299
인천광역시 동구,9275
인천광역시 미추홀구,13376
인천광역시 부평구,27421
인천광역시 서구,65939
인천광역시 연수구,19641
인천광역시 옹진군,138
인천광역시 중구,9507
전라남도 강진군,925
전라남도 고흥군,2569
전라남도 곡성군,2980
전라남도 광양시,19987
전라남도 구례군,621
전라남도 나주시,6884
전라남도 담양군,4055
전라남도 목포시,3296
전라남도 무안군,2511
전라남도 보성군,833
전라남도 순천시,7315
전라남도 신안군,647
전라남도 여수시,23706
전라남도 영광군,3055
전라남도 영암군,14562
전라남도 완도군,1388
전라남도 장성군,6088
전라남도 장흥군,1507
전라남도 진도군,488
전라남도 함평군,1988
전라남도 해남군,2978
전라남도 화순군,3203
전라북도 고창군,1699
전라북도 군산시,22267
전라북도 김제시,10883
전라북도 남원시,2598
전라북도 무주군,517
전라북도 부안군,2422
전라북도 순창군,1179
전라북도 완주군,21317
전라북도 익산시,23287
전라북도 임실군,1664
전라북도 장수군,694
전라북도 전주시,12087
전라북도 정읍시,7994
전라북도 진안군,951
제주특별자치도 서귀포시,2273
제주특별자치도 제주시,8342
충청남도 계룡시,888
충청남도 공주시,9361
충청남도 금산군,10659
충청남도 논산시,10236
충청남도 당진시,35338
충청남도 보령시,5027
충청남도 부여군,1772
충청남도 서산시,22192
충청남도 서천군,5019
충청남도 아산시,96304
충청남도 예산군,9871
충청남도 천안시,86395
충청남도 청양군,2191
충청남도 태안군,845
충청남도 홍성군,5056
충청북도 괴산군,3986
충청북도 단양군,1997
충청북도 보은군,3674
충청북도 영동군,2323
충청북도 옥천군,5830
충청북도 음성군,39973
충청북도 제천시,7918
충청북도 증평군,4888
충청북도 진천군,30681
충청북도 청주시,88491
충청북도 충주시,23496
