시군구,아파트,연립주택,다세대주택
강원도 강릉시,0.485792982,0.0272877139,0.0106283854
강원도 고성군,0.196604111,0.00259972378,0.00747420587
강원도 동해시,0.613699262,0.0303403034,0.0217302173
강원도 삼척시,0.413768702,0.0315069416,0.0199487802
강원도 속초시,0.642552397,0.0309850141,0.0113327289
강원도 양구군,0.269326683,0.0293584221,0.0165495353
강원도 양양군,0.26766146,0.0310095593,0.0150773296
강원도 영월군,0.226602108,0.0322984905,0.0375961265
강원도 원주시,0.636764484,0.00635018341,0.00559645244
강원도 인제군,0.250277593,0.0310163595,0.0205048486
강원도 정선군,0.276817677,0.0205530181,0.0206147389
강원도 철원군,0.257952608,0.0448050803,0.0447462809
강원도 춘천시,0.56574562,0.0127523489,0.0102050533
강원도 태백시,0.507792698,0.104567761,0.00684894569
강원도 평창군,0.163334046,0.0515397776,0.0392964072
강원도 홍천군,0.228774056,0.0450156489,0.0202104282
강원도 화천군,0.250924353,0.034675727,0.0186869192
강원도 횡성군,0.203980837,0.0140761594,0.019410283
경기도 가평군,0.183064396,0.0577842522,0.103765128
경기도 고양시,0.628783111,0.0267368461,0.0823964948
경기도 과천시,0.626509177,0.010279221,0.0873546892
경기도 광명시,0.664547695,0.00833037769,0.137242063
경기도 광주시,0.339357206,0.025390689,0.368030665
경기도 구리시,0.630953834,0.0269405464,0.0677920141
경기도 군포시,0.683513123,0.010825146,0.104334777
경기도 김포시,0.722824355,0.0275145133,0.0385203186
경기도 남양주시,0.7047388,0.0395063704,0.0862433304
경기도 동두천시,0.52044394,0.0520872746,0.150107201
경기도 부천시,0.474750519,0.0188755058,0.253910554
경기도 성남시,0.497047948,0.0274842562,0.0867485957
경기도 수원시,0.570227476,0.0168132978,0.107954257
경기도 시흥시,0.677218784,0.00743524837,0.106697017
경기도 안산시,0.417711246,0.0291129486,0.240501994
경기도 안성시,0.519406323,0.0255266389,0.0395784458
경기도 안양시,0.629319976,0.013956305,0.138211077
경기도 양주시,0.698872373,0.0161028532,0.0695690244
경기도 양평군,0.145237247,0.0285527722,0.0842732202
경기도 여주시,0.2963318,0.0249659168,0.0852931152
경기도 연천군,0.271178162,0.0532913659,0.059206599
경기도 오산시,0.65944614,0.0143620092,0.0688716595
경기도 용인시,0.675641665,0.0264714677,0.0783603289
경기도 의왕시,0.746410773,0.0105614047,0.0952836727
경기도 의정부시,0.64746175,0.0140364548,0.106436973
경기도 이천시,0.42784476,0.0329675287,0.110124855
경기도 파주시,0.623867563,0.0186351761,0.0861126327
경기도 평택시,0.596103832,0.0189574235,0.088808741
경기도 포천시,0.294457172,0.0349439172,0.143390557
경기도 하남시,0.661258366,0.00966473736,0.0159596874
경기도 화성시,0.695424382,0.0121472365,0.0397512775
경상남도 거제시,0.614465799,0.0261624303,0.016294689
경상남도 거창군,0.274379051,0.0187315026,0.0160716293
경상남도 고성군,0.202696669,0.0167872131,0.0337530137
경상남도 김해시,0.663023,0.00755470164,0.0485599433
경상남도 남해군,0.0900828116,0.0117652999,0.021157342
경상남도 밀양시,0.342629566,0.0168599861,0.0210010353
경상남도 사천시,0.463032191,0.0278296989,0.0129179647
경상남도 산청군,0.0720389197,0.0124119005,0.00742219173
경상남도 양산시,0.744542266,0.00637595433,0.0165142032
경상남도 의령군,0.102863034,0.0163375367,0.0215718931
