시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수
강원도 강릉시,0.216196205,0.189580896,0.024965529,0.585581991,0.240187338,0.0245678354,0.0258154749,0.565791065,0.614024494,0.045762822,0.092880877,0.204268842,0.469135802,0,0.0417910448,0.274914089,0.687111111,0.00404424664,0.0265370959
강원도 고성군,0.0580399083,0.0171216227,0.00337185135,0.236395644,0.00286744986,0.015959363,0.00598004039,0.572936781,0.407244827,0.0180386124,0.435609447,0.0323431302,0.444444444,0.367393734,0.00298507463,0.639175258,0.74,0,0.0013081667
강원도 동해시,0.148783162,0.0753415098,0.0129952534,0.740024748,0.269531164,0.0548672616,0.0276192904,0.441507378,0.603489972,0.0137375138,0.0684447023,0.0511179228,0.518518519,0.0251236024,0.00298507463,0.278350515,0.752888889,0.000646340788,0.00579330966
강원도 삼척시,0.133853925,0.0510135929,0.00599530625,0.498614968,0.280745793,0.0500053146,0.0173649916,0.611155661,0.495425197,0.0123832636,0.0969184106,0.0429814281,0.185185185,0,0,0.309278351,0.910222222,0.00055400639,0.0013081667
강원도 속초시,0.180752309,0.0691403312,0.00686572385,0.774863989,0.275728621,0.0264901505,0.0233581031,0.537855331,0.662304028,0.0187753245,0.117437781,0.105301118,0.320987654,0.0461246255,0.00597014925,0.312714777,0.745333333,0.00387804473,0.00747523827
강원도 양구군,0.0222046662,0.0116033232,0.00126495268,0.324205833,0.260092571,0.0407280014,0.024377651,0.43886635,0.553636559,0.00564451475,0.198350441,0.0089253516,0.320987654,0.193958485,0.0149253731,0.656357388,0.860444444,0.00055400639,0.000186880957
강원도 영월군,0.0314368269,0.0269142392,0.00781748889,0.27261727,0.288354769,0.098168941,0.0151232934,0.62301464,0.390710671,0.00464778661,0.0761774272,0.0167463036,0.259259259,0.208425083,0.00597014925,0.666666667,0.849555556,0.00184668797,0.00168192861
강원도 인제군,0.0938334219,0.0217415945,0.00212723553,0.301204663,0.276029942,0.0515229535,0.023704488,0.503789671,0.600814174,0.00784381704,0.162725637,0.0142445005,0.197530864,0,0.0179104478,0.704467354,1,7.39E-05,0
강원도 정선군,0.0551955998,0.0242941944,0.00274954344,0.333250969,0.175448277,0.0518228683,0.0175937363,0.609551605,0.417104615,0.00575285476,0.106432301,0.0288496213,0.172839506,0.302296113,0.00298507463,0.652920962,0.908444444,9.23E-05,0.00168192861
강원도 철원군,0.0295545308,0.0311557704,0.00489711583,0.310471999,0.408577691,0.117683339,0.0224496598,0.348736095,0.509276786,0.0126757817,0.185236402,0.0162504508,0.320987654,0.265844295,0,0.4604811,0.824,0.000369337593,0
