시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수,인센티브제 도입 여부
강원도 강릉시,40274.5,211381,6276,0.485792982,0.027287714,0.010628385,34808,0.38381987,0.667202823,4447,0.020671414,9183,520,0,14,0.607,0.581,219,142,0
강원도 고성군,12227.6,27274,967,0.196604111,0.002599724,0.007474206,31773,0.386302705,0.611828115,1888,0.069598555,1555,500,0.081762851,1,0.713,0.6048,0,7,0
강원도 동해시,28319.7,89426,3333,0.613699262,0.030340303,0.021730217,35084,0.340636531,0.664381723,1491,0.017182962,2388,560,0.005591215,1,0.608,0.6106,35,31,0
강원도 삼척시,25672.2,63455,1612,0.413768702,0.031506942,0.01994878,33515,0.399582154,0.63544244,1366,0.021247803,2027,290,0,0,0.617,0.6814,30,7,0
강원도 속초시,33989,82806,1826,0.642552397,0.030985014,0.011332729,34432,0.374113381,0.680131875,1956,0.024177101,4792,400,0.010264957,2,0.618,0.6072,210,40,0
강원도 양구군,5872.7,21383,449,0.269326683,0.029358422,0.016549535,34588,0.339718885,0.651031193,744,0.035728006,516,400,0.043165131,5,0.718,0.659,30,1,0
강원도 영월군,7509.9,37728,2060,0.226602108,0.032298491,0.037596127,33172,0.403702649,0.607400339,652,0.018286868,863,350,0.046384648,2,0.721,0.6541,100,9,0
강원도 인제군,18575.1,32206,661,0.250277593,0.03101636,0.020504849,34485,0.362277001,0.663665156,947,0.030642291,752,300,0,6,0.732,0.7218,4,0,0
강원도 정선군,11723.2,34931,814,0.276817677,0.020553018,0.020614739,33550,0.399024812,0.614468524,754,0.022605984,1400,280,0.067275486,1,0.717,0.6806,5,9,0
강원도 철원군,7176.1,42256,1342,0.257952608,0.04480508,0.044746281,34293,0.308402423,0.639151836,1393,0.033855876,841,400,0.059163196,0,0.661,0.6426,20,0,0
강원도 태백시,19196.5,39428,1050,0.507792698,0.104567761,0.006848946,34429,0.380467023,0.626052551,634,0.016209444,1199,370,0,0,0.66,0.6646,4,4,0
강원도 평창군,4746,40990,906,0.163334046,0.051539778,0.039296407,33645,0.394888794,0.615735545,1081,0.027933538,3104,490,0,7,0.698,0.7065,30,63,0
강원도 홍천군,16239.9,67977,2318,0.228774056,0.045015649,0.020210428,33673,0.365519078,0.619930271,1886,0.028919727,2918,450,0.001868279,0,0.717,0.6756,147,23,0
